id,name,operator
7921479,016 (2),Unknown Operator
7921520,100EXT,Unknown Operator
7921521,100: Adarsh Nagar,Unknown Operator
7921522,091 (2),Unknown Operator
7921523,010 (2),Unknown Operator
7921524,100EXT: Kendriya Terminal,Unknown Operator
7921525,100: Kendriya Terminal,Unknown Operator
7921526,091 (1),Unknown Operator
7921527,010 (1),Unknown Operator
7922641,EXPRESS (2),Delhi Transport Corporation
7922642,703A (2),Unknown Operator
7928455,419: Ambedkar Nagar Terminal -> Old Delhi Railway Station,Unknown Operator
7928456,490 (1),Unknown Operator
7928457,425A (1),Unknown Operator
7928458,727: Jawaharlal Nehru Stadium => Dwarka Mor Metro Station,Unknown Operator
7928459,445: New Delhi Railway Station → Hamdard Nagar Terminal,Unknown Operator
7928460,430 (2),Unknown Operator
7928461,425: Old Delhi Railway Station -> Hamdard Nagar,Unknown Operator
7928462,423: Mori Gate Terminal -> Ambedkar Nagar Terminal,Unknown Operator
7928463,419A (1),Unknown Operator
7928464,419: Old Delhi Railway Station -> Ambedkar Nagar Terminal,Unknown Operator
7928465,404EXT (1),Unknown Operator
7928466,404 (1),Unknown Operator
7928467,374: Nand Nagri Terminal => Nehru Place Terminal,Unknown Operator
7929053,724: Nehru Place Terminal => Uttam Nagar Terminal,Unknown Operator
7929054,544: Badarpur Border -> RK Puram Sector 1,Unknown Operator
7929055,522: Ambedkar Nagar Terminal -> Indrapuri (Krishi Kunj),Unknown Operator
7929056,522SPL: -> New Delhi Railway Station Gate Number 2,Unknown Operator
7929057,521: Karampura Terminal -> Ambedkar Nagar Sector 4,Unknown Operator
7929058,490 (2),Unknown Operator
7929059,423: Ambedkar Nagar Terminal -> Mori Gate Terminal,Unknown Operator
7930953,629 (1),Unknown Operator
7930954,546 (1),Unknown Operator
7931500,680EXT (1),Delhi Transport Corporation
7931502,611: Dhaula Kuan -> Mayur Vihar Phase 3,Delhi Transport Corporation
7931503,601 (1),Delhi Transport Corporation
7931504,511A: Dhaula Kuan → Badarpur Border,Delhi Transport Corporation
7931505,448A: Punjabi Bagh Terminal -> Hamdard Nagar,Delhi Transport Corporation
7931506,865 (1),Unknown Operator
7931508,545 (1),Unknown Operator
7931509,865 (2),Unknown Operator
7931510,864 (2),Unknown Operator
7931511,711: Uttam Nagar Terminal => Sarai Kale Khan ISBT,Unknown Operator
7931512,680Extra: => Dhaula Kuan,Unknown Operator
7931514,511: -> Badarpur Border,Delhi Transport Corporation
7931515,Outer Mudrika Service (2),Unknown Operator
7931516,745 (2),Unknown Operator
7931517,727A (2),Unknown Operator
7931519,727: Dwarka Mor Metro Station => Jawaharlal Nehru Stadium,Unknown Operator
7931520,719 (2),Unknown Operator
7931521,621: Poorvanchal Hostel -> Mori Gate,Delhi Transport Corporation
7931522,545 (2),Unknown Operator
7931523,F-414: => Malai Mandir,Unknown Operator
7931524,727A (1),Unknown Operator
7931525,66 (2),Unknown Operator
7944207,F-404: Moolchand Metro Station => Devli Gaon,Unknown Operator
7944208,724C (1),Unknown Operator
7944209,580: Kendriya Terminal => Ambedkar Nagar Sector 4,Unknown Operator
7944210,544: RK Puram Sector 1 -> Badarpur Border,Unknown Operator
7944211,522SPL: New Delhi Railway Station Gate Number 2 ->,Unknown Operator
7944212,522: Indrapuri (Krishi Kunj) -> Ambedkar Nagar Terminal,Unknown Operator
7944213,521: Ambedkar Nagar Sector 4 -> Karampura Terminal,Unknown Operator
7948117,055 (1),Delhi Transport Corporation
7948118,611EXT (2),Delhi Transport Corporation
7948119,611: Mayur Vihar Phase 3 → Dhaula Kuan,Delhi Transport Corporation
7948120,567: => Kamaruddin Nagar,Delhi Transport Corporation
7948121,543EXT (1),Delhi Transport Corporation
7948122,543: Anand Vihar ISBT →,Delhi Transport Corporation
7948123,542 (2),Delhi Transport Corporation
7948124,518 (1),Delhi Transport Corporation
7948125,507A (1),Delhi Transport Corporation
7948126,507: Okhla Extension -> Dhaula Kuan,Delhi Transport Corporation
7948127,480: DDA Flats Kalkaji -> Kendriya Terminal,Unknown Operator
7948128,479: Badarpur Border -> Punjabi Bagh,Unknown Operator
7948129,469: Ambedkar Nagar Terminal -> Anand Vihar ISBT,Unknown Operator
7948130,451 (1),Unknown Operator
7948131,450: Jal Vihar Terminal -> Anand Parvat,Unknown Operator
7948132,433: Badarpur Border -> New Delhi Railway Station Gate Number 2,Unknown Operator
7948133,416 (1),Unknown Operator
7948134,414 (2),Unknown Operator
7948135,413: Nizamuddin Railway Station -> Mehrauli Terminal,Unknown Operator
7948136,400: Abul Fazl Enclave -> Minto Road Terminal,Unknown Operator
7948137,392EXT (1),Unknown Operator
7948139,Bus 47 (1),Unknown Operator
7948140,MS (+),Unknown Operator
7948141,(+) Teevra Mudrika Service: Punjabi Bagh Terminal,Unknown Operator
7948142,055 (2),Delhi Transport Corporation
7948143,754 (2),Unknown Operator
7948144,567: Kamaruddin Nagar =>,Delhi Transport Corporation
7948145,543: -> Anand Vihar ISBT,Delhi Transport Corporation
7948146,479: Punjabi Bagh -> Badarpur Border,Unknown Operator
7948147,460: Minto Road Terminal -> Badarpur Border,Unknown Operator
7948148,451 (2),Unknown Operator
7948149,450: Anand Parvat -> Jal Vihar Terminal,Unknown Operator
7948150,437 (2),Unknown Operator
7948152,415 (2),Unknown Operator
7948153,413: Mehrauli Terminal -> Nizamuddin Railway Station,Unknown Operator
7948154,411: -> Hamdard Nagar,Unknown Operator
7948155,408 (1),Unknown Operator
7948156,400: Minto Road Terminal -> Abul Fazl Enclave,Unknown Operator
7948157,392EXT (2),Unknown Operator
7948158,323: Dhaula Kuan → Noida Sector 62,Unknown Operator
7948159,48 (2),Unknown Operator
7948160,Bus 47 (2),Unknown Operator
7948161,MS (-),Unknown Operator
7948162,(-) Teevra Mudrika Service: Punjabi Bagh Terminal,Unknown Operator
7948163,416 (2),Unknown Operator
7948164,414 (1),Unknown Operator
7948841,724A (1),Unknown Operator
7948842,467 (1),Unknown Operator
7948843,460A (1),Unknown Operator
7948844,433A-STL (1),Unknown Operator
7948845,398 (1),Unknown Operator
7948847,Bus 47A-STL (1),Unknown Operator
7950907,47A: Indrapuri -> Central Workshop 2,Unknown Operator
7950908,398EXP: => Mayur Vihar Phase 3,Unknown Operator
7950909,543A: Kapashera Border -> Anand Vihar ISBT,Delhi Transport Corporation
7950910,611EXT (1),Delhi Transport Corporation
7950911,543EXT (2),Delhi Transport Corporation
7950912,518: Hazrat Nizamuddin Railway Station,Delhi Transport Corporation
7950913,507A (2),Delhi Transport Corporation
7964843,493: Mayur Vihar Phase 3 -> Mehrauli,Unknown Operator
7964844,067 (1),Delhi Transport Corporation
7964845,043 (1),Delhi Transport Corporation
7964846,541 (1),Unknown Operator
7964847,514 (2),Delhi Transport Corporation
