id,name,latitude,longitude
5483330568,NCERT,28.537822,77.1930027
5483330569,Qutub Hotel,28.5390537,77.1895509
5483330570,Sanskrit Vidyapeeth,28.5420302,77.1823666
5483330573,Rama Krishna Puram Sector 7,28.570589,77.1726858
5483330782,"Saket, J Block",28.5197382,77.2157231
5483330993,Teen Murti,28.6061096,77.1988825
5483330994,Red Cross Road,28.6176833,77.2110578
5483331636,Unnamed Stop,28.5494505,77.1803746
5483331637,Mohan Singh Market,28.5655923,77.1770881
5483331671,South Avenue,28.6099984,77.199121
5483331673,Gurudwara Bangla Sahib,28.625421,77.2095761
5483331738,Rama Krishna Puram Sector 1,28.5640544,77.1785435
5483331740,Ayurvigyan Nagar,28.5604649,77.2213807
5483331744,Chirag Dilli,28.5389116,77.2323137
5483331960,Akashwani Bhawan,28.6204581,77.2127271
5483331961,Police Station Tughlaq Road,28.5999311,77.2113517
5483331962,Kidwai Nagar,28.5739311,77.2096539
5483331969,Unnamed Stop,28.5345369,77.2322183
5483332047,Sena Bhawan,28.608275,77.2066389
5483332064,Kendriya Terminal Church Road,28.6174908,77.2037963
5483332066,Unnamed Stop,28.5549576,77.2138638
5483332132,Safdarjung Airport,28.584127,77.212672
5483954442,"Saket, M Block",28.5287775,77.2148631
5483954443,Krishi Bhawan,28.614871,77.212476
5483954473,Rail Bhawan Metro Station,28.6149393,77.2119885
5483954474,Udyog Bhawan,28.6126506,77.211843
5483954489,G Block,28.6094443,77.2098605
5483954490,G Block,28.6096447,77.2096689
5484083823,Udyog Bhawan,28.612527,77.2122895
5485189797,Unnamed Stop,28.5324242,77.2040968
5485189798,Aurobindo College,28.5325891,77.2047016
5487021004,Malviya Nagar Crossing,28.5384804,77.213937
5489480588,Maidan Garhi Crossing,28.519046,77.2087497
5490930477,Unnamed Stop,28.5245822,77.2303584
5490930478,Qutub Minar,28.5265698,77.1859674
5490930479,Lado Sarai Crossing,28.5234185,77.1908012
5490931106,Unnamed Stop,28.5160919,77.2269384
5490931524,Pushp Vihar,28.5285738,77.2319627
5490932092,Said-ul-Ajaib,28.5203822,77.2027874
5490932094,Lado Sarai,28.5226228,77.1936115
